Period,Value
01-01-1992,146376
01-02-1992,147079
01-03-1992,159336
01-04-1992,163669
01-05-1992,170068
01-06-1992,168663
01-07-1992,169890
01-08-1992,170364
01-09-1992,164617
01-10-1992,173655
01-11-1992,171547
01-12-1992,208838
01-01-1993,153221
01-02-1993,150087
01-03-1993,170439
01-04-1993,176456
01-05-1993,182231
01-06-1993,181535
01-07-1993,183682
01-08-1993,183318
01-09-1993,177406
01-10-1993,182737
01-11-1993,187443
01-12-1993,224540
01-01-1994,161349
01-02-1994,162841
01-03-1994,192319
01-04-1994,189569
01-05-1994,194927
01-06-1994,197946
01-07-1994,193355
01-08-1994,202388
01-09-1994,193954
01-10-1994,197956
01-11-1994,202520
01-12-1994,241111
01-01-1995,175344
01-02-1995,172138
01-03-1995,201279
01-04-1995,196039
01-05-1995,210478
01-06-1995,211844
01-07-1995,203411
01-08-1995,214248
01-09-1995,202122
01-10-1995,204044
01-11-1995,212190
01-12-1995,247491
01-01-1996,185019
01-02-1996,192380
01-03-1996,212110
01-04-1996,211718
01-05-1996,226936
01-06-1996,217511
01-07-1996,218111
01-08-1996,226062
01-09-1996,209250
01-10-1996,222663
01-11-1996,223953
01-12-1996,258081
01-01-1997,200389
01-02-1997,197556
01-03-1997,225133
01-04-1997,220329
01-05-1997,234190
01-06-1997,227365
01-07-1997,231521
01-08-1997,235252
01-09-1997,222807
01-10-1997,232251
01-11-1997,228284
01-12-1997,271054
01-01-1998,207853
01-02-1998,203863
01-03-1998,230313
01-04-1998,234503
01-05-1998,245027
01-06-1998,244067
01-07-1998,241431
01-08-1998,240462
01-09-1998,231243
01-10-1998,244234
01-11-1998,240991
01-12-1998,288969
01-01-1999,218126
01-02-1999,220650
01-03-1999,253550
01-04-1999,250783
01-05-1999,262113
01-06-1999,260918
01-07-1999,262051
01-08-1999,265089
01-09-1999,253905
01-10-1999,258040
01-11-1999,264106
01-12-1999,317659
01-01-2000,236422
01-02-2000,250580
01-03-2000,279515
01-04-2000,264417
01-05-2000,283706
01-06-2000,281288
01-07-2000,271146
01-08-2000,283944
01-09-2000,269155
01-10-2000,270899
01-11-2000,276507
01-12-2000,319958
01-01-2001,250746
01-02-2001,247772
01-03-2001,280449
01-04-2001,274925
01-05-2001,296013
01-06-2001,287881
01-07-2001,279098
01-08-2001,294763
01-09-2001,261924
01-10-2001,291596
01-11-2001,287537
01-12-2001,326202
01-01-2002,255598
01-02-2002,253086
01-03-2002,285261
01-04-2002,284747
01-05-2002,300402
01-06-2002,288854
01-07-2002,295433
01-08-2002,307256
01-09-2002,273189
01-10-2002,287540
01-11-2002,290705
01-12-2002,337006
01-01-2003,268328
01-02-2003,259051
01-03-2003,293693
01-04-2003,294251
01-05-2003,312389
01-06-2003,300998
01-07-2003,309923
01-08-2003,317056
01-09-2003,293890
01-10-2003,304036
01-11-2003,301265
01-12-2003,357577
01-01-2004,281460
01-02-2004,282444
01-03-2004,319077
01-04-2004,315191
01-05-2004,328408
01-06-2004,321044
01-07-2004,328000
01-08-2004,326317
01-09-2004,313524
01-10-2004,319726
01-11-2004,324259
01-12-2004,387155
01-01-2005,293261
01-02-2005,295062
01-03-2005,339141
01-04-2005,335632
01-05-2005,345348
01-06-2005,350945
01-07-2005,351827
01-08-2005,355701
01-09-2005,333289
01-10-2005,336134
01-11-2005,343798
01-12-2005,405608
01-01-2006,318546
01-02-2006,314051
01-03-2006,361993
01-04-2006,351667
01-05-2006,373560
01-06-2006,366615
01-07-2006,362203
01-08-2006,375795
01-09-2006,346214
01-10-2006,348796
01-11-2006,356928
01-12-2006,417991
01-01-2007,328877
01-02-2007,323162
01-03-2007,374142
01-04-2007,358535
01-05-2007,391512
01-06-2007,376639
01-07-2007,372354
01-08-2007,388016
01-09-2007,353936
01-10-2007,368681
01-11-2007,377802
01-12-2007,426077
01-01-2008,342639
01-02-2008,343893
01-03-2008,372907
01-04-2008,368920
01-05-2008,397956
01-06-2008,378507
